日期时间,对方呼号,频率,模式,己方RST,对方RST,己方功率,对方功率,位置,设备,天线,天气,QSL
2024/08/30 16:14,BG2GJO,439.250,APP,59,59,/,5,黑龙江大庆,uvk6,771,/,/
2024/08/30 16:41,BH2ELG,439.250,APP,59,59,/,5,龙凤区,nt6,原装,/,/
2024/08/30 16:47,BA7NIK,439.250,APP,59,59,/,5,广州,/,/,/,/
2024/08/30 16:54,MTFMGY,439.250,APP,59,59,/,5,黑龙江大庆,uvk6,原装,/,/
2025/07/07 21:06,BA4IAT,439.675,APP,59,59,/,/,上海,/,/,/,/
2025/07/18 20:45,BD7PVQ,/,APP,59,58,/,/,重庆,/,/,/,收/发
2025/07/18 20:46,BG7LCB,/,APP,59,59,/,/,重庆,/,/,/,/
2025/11/05 20:50,BH4GWF,145.100,FM,59,59,5,25,上海梅陇,JST D9000,/,/,/
2025/11/05 21:10,BH4KAT,上海BR4AD中继,FM,59,59,5,H,上海浦东川沙,Weinuo 7600,X300,/,/
2025/11/05 21:14,BH4HTT,上海BR4AD中继,FM,59,59,5,H,上海徐汇滨江,JST D9000,770,/,发
2025/11/06 21:45,BI4AVI,上海BR4AD中继,FM,58,59,5,H,上海长宁/马桥 2楼(远程),7600d,7900,/,/
2025/11/06 21:55,BH4HQP,上海BR4AD中继,FM,59,59,5,H,上海世纪大道 15楼,YAESU FT991A,X50,/,/
2025/11/08 18:22,BH4HNC,上海BR4AA中继,FM,59,59,5,H,宝山杨行,icom 6730,钻石770,/,/
2025/11/08 19:04,BH4GZK,上海BR4AA中继,FM,59,59,5,H,闵行莘庄 6楼,Weinuo N7500,老鹰770h,/,/
2025/11/08 19:10,BI4ASH,上海BR4AA中继,FM,59,58,5,25,浦东大道地铁站,uvk6,钻石FG7900,/,/
2025/11/08 19:33,BG4EVK,上海BR4AA中继,FM,58,59,5,H,杨浦殷行 20米,510D,钻石X300,/,/
2025/11/22 20:35,BH4GER,145.100,FM,59,59,5,25,普陀长征 4楼,kt8900d,车载770苗子,/,/
2025/11/22 20:40,BA3MFD,145.100,FM,59,59,5,H,宝山月浦 4楼,/,/,/,/
